"","Person","PostID","Score","ViewCount","QTime","HourQTime"
"160",72,692,9,332,1280183388.407,22
"161",402,712,12,1343,1280203102.863,3
"162",130,715,2,594,1280205745.21,4
"163",190,723,7,1836,1280210407.69,6
"164",223,725,5,644,1280211043.347,6
"165",223,726,124,34780,1280211638.88,6
"166",210,743,4,441,1280218406.197,8
"167",445,764,12,1725,1280230160.193,11
"168",327,769,2,247,1280234808.42,12
"169",453,770,6,282,1280235210.25,12
"170",460,775,9,1423,1280236494.837,13
"171",463,779,8,857,1280238581.073,13
"172",228,790,3,1540,1280242009.64,14
"173",474,795,-3,728,1280243291.493,15
"174",476,798,21,28339,1280244108.417,15
"175",59,806,4,1793,1280246198.297,15
"176",223,812,6,942,1280247582.88,16
"177",488,820,0,125,1280248959.07,16
"178",480,825,22,5272,1280250277.71,17
"179",498,834,3,3981,1280252785.223,17
"180",501,837,0,1195,1280255140.277,18
"181",30,841,14,1016,1280255882.297,18
"182",503,846,1,437,1280257853.667,19
"183",500,847,0,123,1280257973.037,19
"184",506,856,8,1655,1280262285.767,20
"185",445,859,11,1535,1280264840.127,21
"186",455,866,55,11646,1280279418.423,1
"187",9426,868,3,792,1280286934.473,3
"188",520,870,13,14181,1280289296.447,3
"189",520,871,19,9102,1280290103.973,4
"190",531,877,3,716,1280298696.857,6
"191",223,880,6,392,1280304940.827,8
"192",34,881,5,264,1280304951.733,8
"193",541,884,28,1102,1280310854.73,9
"194",213,887,3,723,1280318541.063,12
"195",284,897,8,2528,1280323952.843,13
"196",5,898,5,725,1280324947.733,13
"197",219,899,11,860,1280325198.503,13
"198",59,913,3,600,1280333707.883,16
"199",559,920,4,653,1280337309.09,17
"200",559,924,6,719,1280338584.92,17
"201",319,927,17,778,1280339029.697,17
"202",1356,928,5,2162,1280339871.697,17
"203",560,929,0,191,1280339982.6,17
"204",559,939,3,556,1280349813.327,20
"205",75,942,15,1955,1280351603.387,21
"206",569,946,2,633,1280353829.093,21
"207",511,949,15,1880,1280354342.693,21
"208",172,951,6,574,1280364491.603,0
"209",513,952,3,322,1280367955.08,1
"210",175,955,0,1267,1280373903.29,3
"211",582,961,10,1991,1280387256.513,7
"212",438,964,3,393,1280392116.52,8
"213",223,973,16,4214,1280404948.347,12
"214",210,977,2,373,1280411033.01,13
"215",608,1001,3,1036,1280429207.247,18
"216",196,1012,0,538,1280438997.59,21
"217",108,1015,7,699,1280441035.887,22
"218",614,1016,8,4921,1280441072.143,22
"219",74,1023,7,692,1280444648.707,23
"220",608,1028,10,3899,1280451320.603,0
"221",168,1040,1,759,1280499857.35,14
"222",614,1047,13,4458,1280509257.573,17
"223",172,1053,17,1552,1280537512.653,0
"224",172,1054,4,508,1280537951.343,0
"225",339,1060,6,958,1280569187.323,9
"226",368,1062,4,713,1280585953.85,14
"227",353,1063,5,11865,1280586555.543,14
"228",634,1066,1,268,1280600426.487,18
"229",144,1081,3,556,1280646963.853,7
"230",642,1084,4,667,1280664482.313,12
"231",647,1093,2,386,1280701875.863,22
"232",282,1095,0,215,1280703133.423,22
"233",588,1099,6,1409,1280724022.673,4
"234",652,1112,11,5715,1280759935.07,14
"235",474,1115,-2,973,1280766517.277,16
"236",660,1126,10,387,1280770152.087,17
"237",474,1130,4,467,1280774655.063,18
"238",287,1133,6,6064,1280776782.86,19
"239",667,1142,36,11691,1280781447.65,20
"240",253,1160,1,387,1280804577.65,3
"241",438,1164,50,2732,1280821774.003,7
"242",364,1169,5,710,1280838009.89,12
"243",8,1173,13,1765,1280842598.303,13
"244",634,1174,20,18749,1280843659.897,13
"245",573,1184,3,1199,1280852808.983,16
"246",11,1194,29,5877,1280866797.303,20
"247",687,1195,5,237,1280867014.77,20
"248",608,1202,2,361,1280873373.84,22
"249",366,1205,4,3157,1280876208.42,22
"250",667,1207,15,3766,1280881933.36,0
"251",698,1215,2,139,1280900511.087,5
"252",127,1223,11,3783,1280916155.09,10
"253",588,1228,8,286,1280923530,12
"254",684,1241,10,1608,1280934807.61,15
"255",168,1249,5,425,1280937896.337,16
"256",59,1252,22,5329,1280939989.25,16
"257",738,1253,6,267,1280940784.197,16
"258",196,1256,5,757,1280943569.803,17
"259",287,1261,3,213,1280948810.25,19
"260",253,1266,10,7210,1280952067.787,20
"261",170,1268,10,2056,1280955064.053,20
"262",749,1270,3,426,1280956323.857,21
"263",273,1274,6,579,1280960279.627,22
"264",588,1278,3,5222,1280971462.44,1
"265",196,1286,4,3092,1280984086.27,4
"266",760,1289,7,1139,1281002614.997,10
"267",217,1292,11,2663,1281004964.327,10
"268",59,1293,0,576,1281005232.837,10
"269",762,1296,9,1345,1281009565.08,11
"270",713,1305,1,92,1281015425.597,13
"271",765,1308,17,4654,1281016807.723,14
"272",775,1315,17,2208,1281036394.06,19
"273",776,1321,6,535,1281042770.063,21
"274",1356,1324,4,293,1281046580.007,22
"275",521,1337,69,66972,1281059627.023,1
"276",189,1350,1,1178,1281076326.513,6
"277",144,1352,10,864,1281081973.193,8
"278",114,1355,5,324,1281088094.73,9
"279",650,1358,12,415,1281092238.82,10
"280",791,1369,0,172,1281103317.11,14
"281",795,1376,4,464,1281121328.477,19
"282",71,1378,8,219,1281131651.23,21
"283",795,1380,3,1055,1281132961.897,22
"284",799,1383,0,429,1281152846.33,3
"285",438,1385,9,1034,1281157647.083,5
"286",795,1386,11,3026,1281158338.967,5
"287",189,1389,4,1387,1281165787.937,7
"288",807,1395,4,436,1281189196.873,13
"289",364,1399,7,1369,1281204602.22,18
"290",196,1412,3,575,1281291040.85,18
"291",196,1413,2,529,1281291275.537,18
"292",1356,1424,4,876,1281312013.56,0
"293",394,1427,2,463,1281326270.097,3
"294",352,1430,6,1368,1281336642.803,6
"295",196,1432,26,15463,1281339152.767,7
"296",352,1441,3,468,1281358255.72,12
"297",159,1444,66,28878,1281362271.753,13
"298",6967,1447,13,7960,1281365562.43,14
"299",247,1454,1,87,1281375813.807,17
"300",253,1455,7,2435,1281376032.227,17
"301",148,1458,23,2431,1281377034.36,18
"302",833,1459,4,2209,1281377439.633,18
"303",834,1460,1,1017,1281377781.917,18
"304",6967,1462,3,1515,1281380010.313,18
"305",511,1469,3,174,1281390908.393,21
"306",840,1471,4,3221,1281392711.207,22
"307",795,1478,3,543,1281400406.96,0
"308",851,1485,4,543,1281422466.993,6
"309",213,1487,1,145,1281423321.597,6
"310",852,1493,4,261,1281429944.72,8
"311",665,1495,11,310,1281430922.7,9
"312",114,1501,3,210,1281448030.963,13
"313",6967,1507,0,385,1281456237.047,16
"314",857,1517,2,1368,1281479946.193,22
"315",830,1519,6,3708,1281493983.993,2
"316",862,1520,6,1448,1281503843.593,5
"317",485,1521,14,5188,1281504710.527,5
"318",74,1525,11,13526,1281511442.763,7
"319",8,1529,8,498,1281521364.163,10
"320",588,1531,4,8479,1281522631.527,10
"321",867,1534,2,116,1281528755.573,12
"322",650,1538,13,1029,1281532524.397,13
"323",870,1540,4,4100,1281533899.647,13
"324",125,1542,1,658,1281534500.34,13
"325",559,1555,4,3375,1281558685.71,20
"326",559,1556,7,968,1281560141.393,20
"327",795,1557,7,489,1281560251.327,20
"328",876,1561,1,532,1281562090.213,21
"329",291,1571,4,926,1281570461.98,23
"330",776,1576,65,34617,1281584765.987,3
"331",183,1580,12,7655,1281589402.717,5
"332",196,1583,3,357,1281595604.597,6
"333",888,1590,0,591,1281603026.35,8
"334",890,1595,192,60964,1281610005.407,10
"335",445,1601,6,4097,1281619213.17,13
"336",847,1604,4,412,1281626215.543,15
"337",110,1610,38,11197,1281642902.167,19
"338",572,1611,26,1460,1281643773.55,20
"339",511,1621,7,427,1281657192.23,23
"340",795,1622,1,294,1281658714.38,0
"341",850,1624,3,365,1281660495.973,0
"342",199,1637,20,6142,1281692473.16,9
"343",1356,1645,14,6412,1281703350.22,12
"344",183,1646,7,1032,1281703463.913,12
"345",364,1649,5,470,1281707918.567,13
"346",559,1660,8,649,1281717825.133,16
"347",110,1667,4,1121,1281738548.05,22
"348",110,1668,12,1518,1281738950.853,22
"349",511,1674,4,294,1281749503.443,1
"350",110,1676,7,1484,1281749963.253,1
"351",511,1681,3,274,1281770160.08,7
"352",937,1687,2,242,1281794416.297,14
"353",862,1699,5,923,1281841805.873,3
"354",952,1708,2,915,1281881453.41,14
"355",198,1709,4,858,1281882623.597,14
"356",339,1713,9,2141,1281891709.62,17
"357",59,1719,7,884,1281912669.993,22
"358",913,1729,6,1566,1281946286.317,8
"359",962,1735,4,1665,1281958602.863,11
"360",172,1736,17,2791,1281960629.567,12
"361",196,1749,5,372,1281979648.967,17
"362",968,1753,1,1164,1281981703.127,18
"363",569,1757,6,474,1282001780.887,23
"364",253,1761,22,2240,1282013522.637,2
"365",144,1764,17,1101,1282022551.34,5
"366",977,1773,6,2525,1282036290.343,9
"367",962,1776,-1,246,1282044198.773,11
"368",114,1780,6,313,1282050609.61,13
"369",919,1781,16,980,1282050629.173,13
"370",253,1787,5,1196,1282060599.067,15
"371",979,1790,6,296,1282063164.803,16
"372",601,1797,11,1560,1282072532.93,19
"373",835,1799,7,937,1282075259.7,20
"374",561,1805,20,18993,1282088532.133,23
"375",850,1807,15,4847,1282095571.013,1
"376",339,1812,5,704,1282117019.733,7
"377",986,1813,9,398,1282120192.133,8
"378",174,1815,21,5593,1282121663.65,8
"379",588,1818,11,11533,1282128981.97,10
"380",283,1822,3,613,1282131430.547,11
"381",5,1826,26,2762,1282137079.19,13
"382",988,1829,16,5904,1282138231.75,13
"383",990,1838,8,3886,1282143355.133,14
"384",990,1841,6,472,1282144784.807,15
"385",25,1844,13,3142,1282146435.627,15
"386",991,1848,8,1201,1282149791.87,16
"387",559,1850,10,15328,1282152917.28,17
"388",795,1853,7,644,1282157388.227,18
"389",930,1856,10,1192,1282163819.617,20
"390",78,1860,4,117,1282172285.027,22
"391",840,1862,10,1774,1282177904.013,0
"392",993,1863,5,730,1282179020.12,0
"393",994,1865,6,282,1282180527.043,1
"394",253,1866,11,1702,1282183815.867,2
"395",253,1870,3,441,1282192515.69,4
"396",997,1873,2,164,1282193425.533,4
"397",996,1874,4,116,1282193612.27,4
"398",997,1875,17,648,1282197366.483,5
"399",582,1881,8,1920,1282200135.767,6
"400",273,1883,5,962,1282201253.84,7
"401",1001,1895,2,365,1282217581.067,11
"402",5,1904,11,493,1282224353.413,13
"403",5,1906,7,455,1282225055.557,13
"404",5,1908,5,351,1282225536.037,13
"405",5,1912,3,286,1282227328.693,14
"406",1004,1914,5,228,1282230829.887,15
"407",1007,1915,7,1563,1282234163.43,16
"408",511,1923,5,358,1282240618.55,17
"409",1011,1927,18,1072,1282246561.337,19
"410",561,1935,8,1622,1282263033.74,0
"411",183,1942,4,319,1282271132.253,2
"412",582,1944,2,231,1282293076.12,8
"413",174,1955,4,194,1282312774.987,13
"414",253,1961,3,1265,1282324543.887,17
"415",919,1963,13,802,1282327564.58,18
"416",1025,1964,7,899,1282329262.683,18
"417",961,1966,6,334,1282335024.127,20
"418",168,1970,6,262,1282339813.107,21
"419",1029,1972,5,864,1282342356.16,22
"420",183,1980,53,2985,1282366691.6,4
"421",835,1995,20,4119,1282436553.757,0
"422",835,1998,8,1153,1282438408.873,0
"423",1026,2007,12,851,1282447468.493,3
"424",253,2008,3,191,1282450563.97,4
"425",862,2010,0,164,1282452706.79,4
"426",183,2022,4,157,1282476281.663,11
"427",1049,2032,6,3393,1282506560.753,19
"428",1043,2035,6,1139,1282533133.72,3
"429",862,2038,8,14597,1282556924.153,9
"430",1072,2059,5,443,1282605675.567,23
"431",183,2061,11,1054,1282618088.29,2
"432",956,2066,9,2507,1282643288.093,9
"433",442,2067,12,1787,1282644342.533,10
"434",5,2072,13,520,1282655253.35,13
"435",5,2077,21,9878,1282675242.633,18
"436",511,2079,2,85,1282680585.43,20
"437",108,2085,5,1426,1282701462.433,1
"438",840,2086,8,3121,1282706183.03,3
"439",862,2091,3,933,1282724526.22,8
"440",862,2092,9,28723,1282725194.61,8
"441",937,2093,0,1388,1282728742.513,9
"442",666,2099,6,2987,1282741822.887,13
"443",1084,2104,5,2845,1282745864.987,14
"444",428,2108,5,990,1282754661.33,16
"445",795,2111,7,990,1282760155.98,18
"446",840,2116,8,5803,1282766966.997,20
"447",1356,2119,1,566,1282773361.473,21
"448",1090,2121,7,2505,1282775685.943,22
"449",74,2125,26,36345,1282780380.417,23
"450",1043,2130,2,298,1282797189.09,4
"451",861,2131,6,1849,1282797931.653,4
"452",1091,2134,7,3402,1282809821.62,8
"453",1094,2140,4,694,1282822933.02,11
"454",1098,2146,1,117,1282843583.483,17
"455",5,2149,22,4469,1282856411.91,21
"456",588,2154,1,292,1282894377.34,7
"457",5,2167,11,709,1282928411.247,17
"458",795,2169,5,240,1282933420.47,18
"459",1036,2170,6,556,1282940254.687,20
"460",1106,2171,14,1742,1282946432.02,22
"461",88,2179,17,2486,1283002482.963,13
"462",1356,2181,13,4122,1283015279.76,17
"463",1117,2197,7,328,1283122257.957,22
"464",862,2198,3,1466,1283129676.273,0
"465",5,2213,15,3182,1283182408.18,15
"466",795,2214,7,170,1283186215.427,16
"467",401,2219,4,1161,1283193750.753,18
"468",339,2220,7,2133,1283194068.04,18
"469",431,2223,1,168,1283198068.29,19
"470",1106,2230,20,4294,1283227041.193,3
"471",253,2234,34,4337,1283248927.947,10
"472",443,2237,2,249,1283264801.777,14
"473",1088,2244,7,1197,1283280969.437,18
"474",5,2245,24,1475,1283281984.883,19
"475",18462,2256,2,2230,1283320530.923,5
"476",862,2258,1,288,1283324974.87,7
"477",183,2259,3,824,1283325832.913,7
"478",1133,2262,0,2536,1283334395.167,9
"479",1134,2264,3,489,1283336434.94,10
"480",1135,2269,3,531,1283342848.173,12
"481",71,2272,71,24738,1283349187.183,13
"482",1137,2275,6,286,1283351342.513,14
"483",253,2282,0,130,1283357043.513,16
"484",743,2290,6,2663,1283375194.86,21
"485",138,2291,9,1672,1283385426.76,23
"486",1144,2294,5,228,1283390061.507,1
"487",1146,2296,7,569,1283392845.543,2
"488",795,2298,5,271,1283398350.773,3
"489",795,2299,18,422,1283400116.45,4
"490",1150,2306,28,3610,1283423142.33,10
"491",132,2315,3,534,1283443972.183,16
"492",1167,2323,6,127,1283474084.053,0
"493",1114,2326,2,293,1283484340.293,3
"494",861,2328,12,1426,1283489617.24,4
"495",229,2335,8,1114,1283504007.51,8
"496",977,2337,2,1534,1283506715.287,9
"497",1185,2343,3,331,1283520115.897,13
"498",1150,2344,32,12383,1283521851.707,13
"499",8,2348,15,795,1283526178.163,15
"500",1150,2350,9,2263,1283529337.1,15
"501",795,2352,11,887,1283530514.543,16
"502",887,2356,40,3214,1283538224.087,18
"503",74,2358,9,8826,1283540057.23,18
"504",1126,2370,5,237,1283577591.86,5
"505",1154,2374,11,3843,1283598948.317,11
"506",795,2377,9,2014,1283641204.117,23
"507",1106,2379,46,4449,1283660189.57,4
"508",722,2384,2,300,1283685357.607,11
"509",199,2385,6,283,1283686667.67,11
"510",196,2390,6,2551,1283702383.343,15
"511",1195,2391,15,10445,1283704545.123,16
"512",511,2397,7,2105,1283716373.743,19
"513",364,2401,10,1270,1283734701.607,0
"514",1195,2405,4,396,1283746460.773,4
"515",253,2410,8,541,1283785149.557,14
"516",961,2419,7,4690,1283799603.07,19
"517",414,2420,1,288,1283799642.58,19
"518",511,2423,8,1965,1283804933.09,20
"519",18,2427,5,1474,1283813079.583,22
"520",183,2432,13,1030,1283829899.747,3
"521",386,2439,7,497,1283860129.003,11
"522",1084,2446,7,444,1283875311.877,16
"523",88,2455,10,2740,1283905899.353,0
"524",1208,2457,9,2011,1283911038.193,1
"525",1210,2466,11,492,1283921093.493,4
"526",1154,2467,3,1844,1283921395.197,4
"527",183,2469,9,5812,1283924508.627,5
"528",1212,2476,13,2996,1283941439.423,10
"529",1215,2481,4,872,1283945592.393,11
"530",1216,2483,2,269,1283946565.087,11
"531",795,2492,92,21588,1283968041.82,17
"532",1227,2493,13,640,1283975322.11,19
"533",74,2499,18,4758,1283991307.943,0
"534",795,2504,17,989,1284012065.3,6
"535",603,2510,2,524,1284035633.397,12
"536",266,2513,6,1430,1284044668.853,15
"537",666,2516,54,9927,1284056490.2,18
"538",1124,2537,2,873,1284123095.787,12
"539",1215,2541,16,13686,1284138459.13,17
"540",285,2547,24,23545,1284150416.997,20
"541",603,2555,2,366,1284167624.64,1
"542",386,2559,6,525,1284191548.57,7
"543",1248,2563,4,1250,1284210903.89,13
"544",1250,2572,3,616,1284231938.68,19
"545",1102,2573,5,6317,1284233798.39,19
"546",840,2576,6,664,1284236434.95,20
"547",1251,2579,0,681,1284246528.143,23
"548",54,2580,8,498,1284246743.77,23
"549",1253,2585,1,171,1284267844.77,5
"550",977,2587,2,189,1284290548.79,11
"551",144,2591,7,2988,1284304322.687,15
"552",1260,2592,3,1916,1284307882.923,16
"553",977,2597,18,3544,1284320965.443,19
"554",64,2598,1,120,1284322696.74,20
"555",1250,2602,3,1092,1284327494.563,21
"556",1266,2611,17,1276,1284378447.23,11
"557",603,2613,6,625,1284383691.62,13
"558",1250,2615,5,513,1284384911.777,13
"559",1267,2617,4,1284,1284386837.403,14
"560",559,2619,5,4833,1284389958.623,14
"561",284,2623,5,1988,1284397002.96,16
"562",1154,2628,18,4739,1284402923.81,18
"563",977,2631,7,500,1284409230.583,20
"564",1272,2635,3,3271,1284423644.673,0
"565",1102,2639,2,811,1284426692.053,1
"566",386,2641,97,37144,1284434641.207,3
"567",183,2648,6,279,1284453795.42,8
"568",1251,2650,2,712,1284455122.79,9
"569",559,2661,5,3835,1284484690.68,17
"570",795,2667,4,551,1284500621.883,21
"571",1279,2670,3,1119,1284511511.29,0
"572",1284,2675,3,987,1284547785.213,10
"573",1287,2679,4,1036,1284560333.813,14
"574",1290,2684,3,5896,1284568839.463,16
"575",104,2686,7,261,1284576149.02,18
"576",1291,2688,7,912,1284578445.563,19
"577",851,2689,6,1578,1284580468.173,19
"578",851,2691,184,66071,1284581155.993,20
"579",1313,2711,4,135,1284624098.57,8
"580",930,2715,52,3082,1284632496.837,10
"581",1316,2717,15,6517,1284637635.633,11
"582",1119,2726,3,100,1284644778.17,13
"583",253,2728,4,1259,1284651606.907,15
"584",1320,2730,15,2066,1284652411.09,15
"585",1121,2739,4,284,1284662173.733,18
"586",1154,2742,5,4034,1284665290.13,19
"587",1250,2746,8,2423,1284669540.603,20
"588",1336,2768,6,1785,1284698160.473,4
"589",1118,2770,8,779,1284699949.097,5
"590",30,2772,15,1544,1284703896.29,6
"591",183,2777,19,2472,1284707547.057,7
"592",593,2787,1,127,1284727927.833,12
"593",1079,2788,5,569,1284728050.173,12
"594",226,2794,4,1603,1284738248.69,15
"595",1347,2806,16,6331,1284775704.59,2
"596",1352,2819,16,5271,1284808906.51,11
"597",1343,2823,4,261,1284826442.14,16
"598",1356,2824,13,1590,1284831726.037,17
"599",511,2828,16,1613,1284841210.293,20
"600",253,2844,6,2101,1284888067.803,9
"601",1307,2846,12,2362,1284888748.61,9
"602",1251,2849,3,585,1284900388.31,12
"603",1291,2854,4,899,1284908404.55,15
"604",881,2860,3,1001,1284922415.41,18
"605",250,2875,2,144,1284945566.897,1
"606",588,2886,7,2792,1284965060.22,6
"607",1250,2892,5,2430,1284978368.91,10
"608",1250,2893,13,1326,1284980217.297,10
"609",1376,2894,9,256,1284989049.147,13
"610",53,2904,5,629,1285004715.683,17
"611",666,2906,13,430,1285009044.617,18
"612",795,2909,7,567,1285012771.487,19
"613",930,2910,61,7644,1285015148.183,20
"614",1329,2914,9,3995,1285018558.207,21
"615",1329,2915,4,253,1285020965.19,22
"616",1381,2917,10,1436,1285024467.38,23
"617",608,2918,3,816,1285024955.163,23
"618",608,2934,3,574,1285042136.927,4
"619",608,2938,6,668,1285046116.743,5
"620",1007,2948,22,7282,1285084245.697,15
"621",364,2956,17,439,1285112439.317,23
"622",1393,2957,8,902,1285118149.873,1
"623",1320,2962,5,2301,1285130302.253,4
"624",183,2966,6,156,1285151571.633,10
"625",1134,2971,15,733,1285164672.697,14
"626",603,2972,5,827,1285165501.887,14
"627",957,2975,5,1153,1285173345.25,16
"628",1250,2976,11,2324,1285174897.58,17
"629",1007,2981,6,1227,1285181368.433,18
"630",930,2982,8,1468,1285188800.303,20
"631",104,2988,11,3475,1285200771.567,0
"632",1395,3001,6,288,1285214223.107,3
"633",183,3006,8,634,1285228698.98,7
"634",1392,3024,19,9880,1285270720.19,19
"635",1410,3031,3,1054,1285297016.01,2
"636",183,3038,15,3712,1285305840.24,5
"637",1007,3048,21,2748,1285328664.637,11
"638",1024,3051,11,7915,1285339291.997,14
"639",634,3052,10,796,1285340992.74,15
"640",1291,3059,6,314,1285347899.187,17
"641",1417,3061,4,518,1285353639.993,18
"642",1417,3062,1,260,1285355368.577,19
"643",71,3064,9,345,1285358053.507,19
"644",1102,3069,7,2594,1285387773.167,4
"645",1329,3080,11,373,1285475132.47,4
"646",1421,3082,15,821,1285486634.583,7
"647",1154,3086,6,2789,1285508448.663,13
"648",183,3100,3,267,1285568677.78,6
"649",253,3101,6,449,1285572332.12,7
"650",930,3104,9,1431,1285582297.493,10
"651",1411,3109,5,116,1285585425.737,11
