"","Person","PostID","Score","ViewCount","QTime","HourQTime","Response_hour"
"378",174,1699,21,5593,1282121663.65,8,-68.4011611111297
"382",988,1713,16,5904,1282138231.75,13,-61.9109174999926
"388",795,1736,7,644,1282157388.227,18,-52.7344538888666
"398",997,1757,17,648,1282197366.483,5,-52.7417833333545
"401",1001,1776,2,365,1282217581.067,11,-47.6153011110756
"403",5,1787,7,455,1282225055.557,13,-42.1226324999995
"415",919,1844,13,802,1282327564.58,18,-11.3287491666608
"419",1029,1853,5,864,1282342356.16,22,-8.50959444450008
"439",862,1963,3,933,1282724526.22,8,-104.388074999981
"440",862,1964,9,28723,1282725194.61,8,325.113473055495
"444",428,1980,5,990,1282754661.33,16,-106.953232499957
"449",74,1995,26,36345,1282780380.417,23,-95.2080352777905
"453",1094,2010,4,694,1282822933.02,11,-97.2072491667006
"456",588,2024,1,292,1282894377.34,7,-111.994782499936
"458",795,2035,5,240,1282933420.47,18,-108.268056388895
"460",1106,2037,14,1742,1282946432.02,22,-107.232153611117
"468",339,2085,7,2133,1283194068.04,18,-119.039025833342
"471",253,2099,34,4337,1283248927.947,10,-140.772099999984
"475",18462,2121,2,2230,1283320530.923,5,-149.839534999927
"480",1135,2134,3,531,1283342848.173,12,-147.138694444365
"490",1150,2167,28,3610,1283423142.33,10,-137.160601944394
"492",1167,2182,6,127,1283474084.053,0,-121.231337777774
"502",887,2213,40,3214,1283538224.087,18,-96.0055011110836
"506",795,2234,9,2014,1283641204.117,23,-108.778568611145
"511",1195,2248,15,10445,1283704545.123,16,-115.03897583339
"522",1084,2299,7,444,1283875311.877,16,-130.273119444384
"525",1210,2315,11,492,1283921093.493,4,-129.377396111091
"531",795,2335,92,21588,1283968041.82,17,-124.436438888907
"534",795,2344,17,989,1284012065.3,6,-135.475001944436
"535",603,2348,2,524,1284035633.397,12,-140.562633333339
"536",266,2350,6,1430,1284044668.853,15,-140.070480555495
"541",603,2385,2,366,1284167624.64,1,-131.850706388818
"543",1248,2391,4,1250,1284210903.89,13,-112.585538055499
"553",977,2423,18,3544,1284320965.443,19,-142.033988888926
"557",603,2439,6,625,1284383691.62,13,-144.187438055542
"563",977,2457,7,500,1284409230.583,20,-138.042741666635
"566",386,2466,97,37144,1284434641.207,3,-142.341372222238
"569",559,2483,5,3835,1284484690.68,17,-145.585958333347
"576",1291,2504,7,912,1284578445.563,19,-150.386161944403
"587",1250,2559,8,2423,1284669540.603,20,-131.475432222221
"588",1336,2576,6,1785,1284698160.473,4,-127.964623888863
"590",30,2580,15,1544,1284703896.29,6,-102.661274166637
"591",183,2585,19,2472,1284707547.057,7,-119.001442777779
"594",226,2602,4,1603,1284738248.69,15,-110.789900000029
"596",1352,2623,16,5271,1284808906.51,11,-113.623826944431
"598",1356,2628,13,1590,1284831726.037,17,-118.198951944444
"600",253,2648,6,2101,1284888067.803,9,-117.366694444418
"601",1307,2650,12,2362,1284888748.61,9,-119.492776944505
"605",250,2670,2,144,1284945566.897,1,-120.201606666711
"609",1376,2684,9,256,1284989049.147,13,-114.348518611126
"623",1320,2746,5,2301,1285130302.253,4,-127.551798888908
"629",1007,2764,6,1227,1285181368.433,18,-131.64589055558
"638",1024,2819,11,7915,1285339291.997,14,-146.631490000023
"647",1154,2854,6,2789,1285508448.663,13,2034.31213333329
"660",1106,2918,13,1803,1285737755.593,5,-194.605681388908
"667",1118,2934,14,1687,1285821470.027,4,-215.674892777734
"670",264,2948,6,170,1285845385.453,11,-209.92697027776
"674",1459,2956,8,433,1285856046.623,14,94.5212483333217
"675",1381,2962,3,251,1285862559.11,16,-195.495383333365
"679",1005,2976,4,114,1285892167.093,0,-190.628365555538
"685",1479,3001,8,1359,1285963558.55,20,-207.583703611096
"697",776,3038,3,651,1286141046.223,21,-231.557490555578
"704",749,3062,4,391,1286221643.197,19,-240.433737222221
"706",569,3069,11,8128,1286229465.903,21,-233.065997222198
"710",1216,3080,2,1215,1286265288.897,7,-217.610286111103
"715",1512,3105,5,1111,1286365956.327,11,-217.263017777801
"718",1513,3113,3,204,1286394768.773,19,-212.095978611112
"720",1515,3117,16,1680,1286399766.06,21,-219.178006388876
"732",1250,3156,3,1195,1286544273.177,13,-228.651849166685
"734",1531,3165,6,205,1286571680.033,21,-224.308122222225
"735",253,3167,17,5446,1286573460.867,21,-223.839038888878
"736",5793,3180,8,5307,1286631280.713,13,-162.492675000032
"738",253,3200,16,1518,1286702869.817,9,-234.910601944394
"743",1545,3212,9,854,1286768894.103,3,-251.268703611096
"744",190,3214,14,16090,1286779190.77,6,-245.534490833349
"756",183,3276,38,1548,1286935050.58,1,-230.805716666645
"758",1569,3286,4,447,1286969481.963,11,-229.525478611125
"763",1531,3309,4,847,1287002725.29,20,-218.959264722202
"768",315,3328,20,7263,1287052095.937,10,-218.565716666712
"775",1219,3359,3,3368,1287139721.76,10,-214.49149444441
"780",59,3372,3,169,1287161438.817,16,-208.278724166618
"781",1598,3377,2,381,1287170822.353,19,-206.164746111102
"782",1036,3381,4,511,1287173833.24,20,-155.017100833323
"783",1600,3383,11,3268,1287174277.687,20,-199.047612222234
"791",190,3423,9,3928,1287388272.16,7,-226.513791666693
"799",1564,3445,2,625,1287429041.067,19,-216.938527777725
"816",1641,3514,3,87,1287568552.417,9,-189.289056666692
"817",767,3516,8,2865,1287570839.067,10,-189.049398333298
"818",1643,3519,10,249,1287575944.173,11,-188.959332222144
"823",1649,3537,1,1567,1287603462.267,19,-188.896864999996
"824",253,3539,6,2090,1287603822.297,19,-188.530194444391
"828",199,3556,10,131,1287659223.723,11,-177.836614722212
"831",22,3564,2,720,1287668312.16,13,-185.735289722217
"838",1389,3592,7,10215,1287741915.167,10,-188.110438055595
"845",30,3611,6,597,1287762089.937,15,-188.601334444483
"853",253,3652,23,19094,1287926149.687,13,-208.72069083333
"854",22,3653,6,3547,1287928681.527,13,-209.220572222206
"862",1679,3672,11,829,1288001657.67,10,-187.60601750003
"869",791,3695,3,7677,1288107583.867,15,-199.56520194451
"871",2025,3704,3,8014,1288146571.147,2,-203.328537222213
"872",253,3708,8,1462,1288165664.047,7,-205.180773333311
"879",582,3734,6,511,1288265397.12,11,-223.905141666598
"884",253,3752,9,3567,1288342574.133,8,-209.082186944418
"886",795,3757,7,1071,1288374309.53,17,-231.078055555556
"892",1763,3788,9,6686,1288606784.367,10,-289.3680066667
"894",255,3793,4,576,1288614289.967,12,-290.139311111106
"895",1108,3799,19,1759,1288641657.66,20,-295.526939722233
"906",1777,3840,2,338,1288754292.013,3,-301.946448055572
"909",1786,3853,5,460,1288795972.013,14,-311.617239722212
"915",1760,3868,9,282,1288849742.013,5,19921.3365055556
"920",253,3885,4,283,1288889371.543,16,-315.442912777795
"921",1808,3888,0,216,1288908196.153,22,-319.941124999987
"923",226,3890,44,7814,1288920339.52,1,-323.212292500006
"932",634,3928,1,465,1288995143.317,22,-292.939304722216
"936",1224,3943,7,1296,1289077921.923,21,-318.79284527772
"938",439,3950,13,2430,1289127449.053,10,-326.904329444435
"941",776,3958,4,1072,1289150907.877,17,-332.66575666666
"947",1614,3977,0,905,1289221439.743,13,-327.840416666667
"951",1709,3999,3,840,1289287815.237,7,-322.553940000004
"964",199,4040,8,1216,1289392369.143,12,-315.874283333355
"966",1950,4053,1,1648,1289412818.233,18,-309.918423055543
"968",1330,4058,1,703,1289417132.353,19,-299.584886111087
"970",1913,4072,2,379,1289435608.43,0,-292.583347222209
"972",183,4084,20,1199,1289458786.883,6,-256.073342499998
"973",1106,4086,0,344,1289461843.59,7,-250.671630555524
"977",1959,4101,3,274,1289487550.677,14,-242.626153888901
"998",990,4174,0,446,1289751707.483,16,-265.091015555527
"1003",1950,4191,2,143,1289838193.67,16,-274.424816666709
"1005",196,4193,12,6703,1289840496.68,17,-274.397754722238
"1006",364,4200,121,10402,1289846797.113,18,-269.764609999988
"1027",1994,4284,3,3960,1290011058.9,16,-243.051771388915
"1028",1124,4286,6,668,1290014241.297,17,-242.963811111053
"1034",439,4305,18,2764,1290065302.207,7,-235.342009444435
"1037",2046,4325,1,1093,1290097183.16,16,-238.140604722235
"1040",1307,4334,2,379,1290116941.41,21,-214.902035277817
"1041",795,4335,5,301,1290118264.46,22,-229.027492500014
"1044",199,4353,17,4854,1290160897.86,10,-230.946147222254
"1045",1082,4356,21,24319,1290166322.027,11,-232.014191666643
"1047",2063,4367,5,336,1290178082.893,14,-233.671261944506
"1049",74,4371,3,2648,1290192937.91,18,-231.025269444452
"1056",2078,4396,4,746,1290313040.387,4,-248.949840000007
"1063",2095,4429,2,195,1290461142.37,21,-277.829211944408
"1067",2101,4437,11,4744,1290475121.48,1,-279.778177777794
"1078",2127,4465,4,655,1290539452.133,19,-269.80705916663
"1079",2108,4466,1,166,1290539495.047,19,-281.947287222213
"1080",2040,4469,3,531,1290545227.533,20,-280.981631388863
"1083",776,4480,9,4187,1290556210.213,23,-271.301959999998
"1087",2122,4501,0,54,1290604808.147,13,-268.223296388918
"1092",1351,4517,3,824,1290624446.677,18,-255.250603888896
"1093",183,4523,7,1866,1290648806.563,1,-248.089864722225
"1099",2137,4539,5,311,1290705963.753,17,-246.162116666701
"1100",2141,4543,-3,156,1290732390.3,0,-245.731579722232
"1103",2101,4556,1,52,1290767645.437,10,117.49930361112
"1108",2137,4569,2,2816,1290789240.81,16,-253.764218611055
"1118",1351,4604,2,1224,1290960792.2,16,-272.708281388879
"1119",2164,4608,3,1083,1290992542.203,1,-279.612316666709
"1120",511,4609,4,246,1290996504.257,2,-279.355398333338
"1121",2050,4610,3,981,1290997394.403,2,-282.648352777759
"1122",1709,4612,6,990,1291016612.537,7,-288.056041666667
"1127",196,4624,29,34044,1291064050.447,20,-297.910132499999
"1132",2197,4639,4,193,1291106271.447,8,-304.158618611097
"1134",2199,4642,68,37011,1291116375.473,11,-302.226735000014
"1135",900,4649,1,213,1291144768.5,19,-309.712650833329
"1136",2091,4652,7,948,1291150867.213,21,-308.19414250003
"1137",2067,4655,6,240,1291180979.07,5,-316.219694444405
"1140",1195,4659,3,179,1291189858.993,7,-305.795339722236
"1142",386,4663,7,176,1291202921.573,11,-313.695711944434
"1148",18462,4686,5,4110,1291270161.087,6,-320.911871388886
"1149",2228,4691,3,1979,1291285927.58,10,-324.272809166643
"1151",264,4694,1,1345,1291288633.693,11,-315.554268333316
"1153",1124,4700,4,547,1291303084.343,15,-325.627102777759
"1157",2218,4713,2,290,1291379543.16,12,-338.331742500001
"1162",2251,4729,2,902,1291428807.347,2,-339.956394444439
"1163",144,4737,7,282,1291453532.74,9,-348.511349999971
"1167",1005,4753,2,274,1291503754.32,23,-270.040238055521
"1169",1224,4756,4,1180,1291519496.76,3,-351.058805555569
"1175",52,4775,7,986,1291592590.043,23,-343.130304444432
"1182",588,4799,8,3303,1291685377.223,1,-341.983553611106
"1185",339,4810,6,1448,1291716647.81,10,-316.580688055555
"1187",2116,4816,6,246,1291732219.86,14,-338.470272222227
"1188",478,4817,1,485,1291735961.797,15,-340.602155555553
"1203",253,4877,41,3963,1291844745.977,21,-343.265456666682
"1205",261,4886,4,769,1291889467.247,10,-352.431541666653
"1211",749,4901,5,1889,1291910117.107,15,-344.788347222209
"1213",1077,4904,0,697,1291912490.8,16,-340.557227777772
"1221",199,4939,40,16006,1291973474.58,9,-329.767288055552
"1222",634,4942,24,3776,1291979165.337,11,-326.535861111085
"1223",1445,4945,8,3386,1291991440.167,14,-305.540591666698
"1227",569,4954,11,2073,1292006551.76,18,-318.251021388902
"1233",82,4980,14,4277,1292107826.88,22,-310.441398055553
"1236",52,5004,16,1016,1292190815.743,21,-283.909787777795
"1237",183,5007,39,1764,1292201767.2,0,-315.801991666688
"1240",1973,5023,5,2634,1292260012.92,17,-313.099044444429
"1243",2367,5038,16,6188,1292283797.117,23,-313.940613888899
"1245",2379,5041,4,339,1292291145.857,1,-286.996263055536
"1246",2310,5045,11,2156,1292296169.683,3,661.620614999996
"1247",1750,5049,1,158,1292300366.873,4,-303.934668333398
"1252",2384,5078,2,299,1292357307.367,20,-295.682090833386
"1253",82,5090,10,1918,1292385847.567,4,119.774618333379
"1255",2385,5092,4,953,1292392852.117,6,-288.33026222229
"1260",2398,5119,2,261,1292444462.263,20,-281.495389722188
"1263",1381,5128,22,2276,1292464092.853,1,-280.430742499961
"1265",632,5135,3,394,1292486176.983,7,-282.9472127778
"1267",2405,5144,1,1354,1292505313.73,13,-280.020614722239
"1269",1700,5147,1,1081,1292512396.647,15,-279.818581666681
"1270",2407,5150,4,310,1292513779.483,15,-267.831908333368
"1274",2407,5172,27,2531,1292582209.853,10,-270.357133333352
"1277",2423,5181,1,209,1292606492.02,17,-260.899724999997
"1280",253,5195,9,15051,1292680236.403,13,-266.207962777747
"1282",957,5207,1,466,1292732406.56,4,60.9461313888762
"1289",2322,5253,10,21948,1292967480.003,21,-321.135136111114
"1295",2488,5271,8,2286,1293039861.793,17,-334.598533333341
"1298",2510,5293,1,155,1293143119.767,22,-343.710269444452
"1305",557,5315,3,292,1293290944.023,15,-379.897561111119
"1311",174,5340,3,385,1293479412.313,19,-419.518196111123
"1312",2540,5343,47,23592,1293508072.19,3,-371.917928611106
"1314",1643,5351,16,7158,1293545596.227,14,-365.072164999975
"1317",1381,5360,5,1075,1293565991.963,19,-432.802710000012
"1322",339,5372,5,2454,1293635685.243,15,-426.565050000019
"1330",2516,5396,2,468,1293706730.857,10,2676.98415444447
"1337",2586,5414,10,3560,1293777530.327,6,-438.395775000056
"1338",2587,5418,12,2223,1293790249.467,10,-440.471977777746
"1344",2601,5443,8,908,1293938203.82,3,-408.695772222214
"1356",2624,5487,10,4279,1294092241.343,22,-481.363127777775
"1359",339,5504,8,2663,1294128895.153,8,-481.617805555529
"1363",1329,5517,4,901,1294160136.283,16,-397.80752861109
"1367",2641,5525,2,355,1294165610.577,18,-478.509254722264
"1370",2649,5545,10,671,1294206956.113,5,-477.632392499977
"1372",2654,5555,3,2079,1294235806.507,13,-482.829026944439
"1376",2665,5566,9,3101,1294301482.483,8,-495.473565555546
"1380",2676,5586,0,1133,1294342549.93,19,-492.409563055568
"1384",2036,5603,6,108,1294396077.527,10,-438.810974999997
"1391",52,5617,2,353,1294455130.047,2,-492.63074000001
"1393",253,5620,5,2646,1294485967.737,11,-499.540727777746
"1403",217,5647,1,390,1294610914.65,22,-489.472980555561
"1404",2717,5656,6,1025,1294638659.077,5,-483.299297222296
"1411",2728,5682,4,626,1294699111.137,22,-477.206477777825
"1416",1709,5690,13,7619,1294721849.32,4,1955.84068694446
"1419",217,5700,7,169,1294761564.12,15,-478.05541749994
"1424",2698,5713,3,391,1294794914.267,1,-469.457729722195
"1429",364,5732,14,1567,1294891619.613,4,-471.544890555541
"1432",2767,5742,2,2232,1294930280.863,14,-473.921530555553
"1433",2198,5747,18,3899,1294937194.553,16,-453.261650000016
"1438",2779,5765,4,220,1295002564.463,10,-437.362704444461
"1440",255,5771,9,1649,1295013966.03,14,-411.299058333304
"1448",2800,5807,5,1012,1295178670.763,11,-426.397493333353
"1459",30,5831,3,248,1295289175.55,18,-379.726825833321
"1467",144,5859,18,16285,1295377679.347,19,-436.617825000021
"1471",2833,5873,6,5988,1295398836.91,1,-268.915226944486
"1474",1144,5880,5,321,1295416372.1,5,-427.538188888894
"1476",2959,5885,3,228,1295440906.5,12,-413.094559166696
"1477",2407,5887,9,489,1295442456.177,13,-411.747028888861
"1480",2724,5899,3,206,1295458429.987,17,-399.565365833309
"1486",2849,5918,3,812,1295539161.423,15,-381.567364722159
"1488",30,5927,29,1806,1295578434.717,2,-416.479110277759
"1495",1320,5954,5,739,1295716685.033,17,-439.546325833334
"1497",2325,5962,4,74,1295755675.287,4,-435.172908333341
"1500",2817,5969,9,3110,1295797007.64,15,-436.68205916663
"1502",2885,5975,3,3165,1295812139,19,-457.221556388868
"1511",2669,5997,14,3056,1295921975.05,2,-474.730220277773
"1516",2934,6013,1,427,1295944301.517,8,-468.449897222188
"1522",1706,6024,2,499,1295963978.873,13,-452.588734166688
"1523",142,6033,7,23465,1295973865.457,16,1303.39927500003
"1526",2914,6039,1,1191,1295984049.613,19,-457.926142499977
"1528",2916,6046,1,677,1295994804.837,22,-457.451843611068
"1529",2310,6047,3,370,1295996472.22,23,-451.459557500018
"1536",539,6067,2,304,1296050530.713,14,-451.550100000037
"1540",253,6076,13,10961,1296059254.04,16,-432.992668611076
"1541",2934,6077,5,1019,1296062626.763,17,-434.055219444434
"1544",2798,6091,8,936,1296085686.297,23,-432.194201111131
"1545",2392,6093,29,2897,1296100621.977,3,-434.909778888888
"1546",2938,6096,3,4171,1296107467.74,5,-424.449374166661
"1551",1090,6127,4,704,1296156476.06,19,-414.095906388892
"1555",1347,6141,42,4021,1296174230.893,0,-410.370376666718
"1556",569,6142,16,972,1296174272.027,0,-410.376790000002
"1560",2961,6151,7,1337,1296220075.577,13,-398.556966666712
"1561",2953,6155,4,276,1296227639.893,15,-415.449221111139
"1564",196,6170,2,3053,1296253936.647,22,-409.908388055563
"1567",1329,6182,2,559,1296333028.627,20,-423.192740833296
"1569",1283,6189,6,676,1296350412.84,1,-425.041708333294
"1582",2989,6225,2,446,1296479562.683,13,-428.310406388905
"1585",264,6234,5,1290,1296492089.663,16,-428.045556388895
"1589",2725,6239,12,29151,1296503899.363,19,-427.954344444407
"1591",2473,6243,2,340,1296515173.85,23,-393.335953611069
"1592",2996,6247,4,1566,1296525118.023,1,-419.990560000009
"1595",2693,6253,4,906,1296551229.633,9,-425.827256388863
"1596",2454,6254,4,168,1296557785.047,10,-427.250062222216
"1600",776,6268,6,4209,1296603402.177,23,-422.600857500037
"1611",3025,6308,2,277,1296699862.08,2,-397.028802777794
"1613",223,6314,12,296,1296723533.177,8,2525.13185444441
"1615",1443,6317,4,652,1296728305.35,10,-398.709214722183
"1618",3041,6330,6,1911,1296759304.247,18,-399.226269444426
"1625",3048,6350,6,851,1296824998.19,13,-401.405025000042
"1626",3044,6354,0,286,1296830458.553,14,-361.186898888879
"1629",2842,6364,4,3418,1296841856.66,17,-400.179803611106
"1632",221,6371,5,502,1296857788.863,22,-183.370548055569
"1634",3062,6375,-1,454,1296907643.02,12,-409.393013055589
"1638",1490,6387,16,317,1296924539.65,16,-408.410018611153
"1639",2942,6391,23,2914,1296930352.21,18,-392.398486111098
"1642",52,6410,7,2502,1297016030.133,18,-405.917883333299
"1656",1833,6441,2,446,1297119405.337,22,-409.276812222203
"1658",2635,6444,3,136,1297131836.847,2,-409.655999166701
"1661",3104,6455,3,432,1297167954.363,12,-399.835203611056
"1668",2405,6481,1,211,1297257401.17,13,-365.470949166682
"1671",319,6487,21,966,1297280068.307,19,-390.184151944386
"1673",2775,6493,4,1249,1297301048.58,1,-379.30415361113
"1678",3136,6505,8,2475,1297349966.717,14,-390.970126944449
"1682",977,6513,7,185,1297355726.57,16,-381.074076944391
"1688",3014,6535,2,1230,1297415376.41,9,-398.180473055575
"1697",4701,6577,4,360,1297524147.697,15,-384.520306666692
"1699",253,6581,4,1429,1297529163.52,16,-402.535892500016
"1702",3178,6592,11,967,1297583783.41,7,-417.242582500047
"1704",3019,6599,1,132,1297605919.347,14,-384.738097222249
"1706",3182,6601,4,753,1297612825.593,16,-417.902088888884
"1707",3183,6604,3,459,1297616026.697,16,-414.114110277759
"1709",1620,6609,9,378,1297628678.9,20,-356.419232499997
"1713",2635,6619,9,2305,1297642877.413,0,-418.4100758334
"1716",3189,6624,8,2558,1297661521.177,5,-421.352640000052
"1719",3191,6638,3,146,1297691236.96,13,-425.297693611119
"1721",2860,6642,10,1622,1297698219.727,15,-405.017291666667
"1722",2798,6648,24,4214,1297703417.143,17,-425.465313888921
"1726",2040,6664,9,677,1297727475.593,23,-418.021922222243
"1733",1351,6684,4,317,1297779747.763,14,-421.896011944479
"1736",223,6688,5,390,1297786150.773,16,-407.732419444455
"1744",1762,6706,9,1048,1297807895.66,22,-404.298030555579
"1745",1643,6707,4,677,1297809047.803,22,-399.504772222175
"1747",3269,6715,11,2326,1297830886.397,4,-405.853838055597
"1750",1036,6728,9,740,1297867673.653,14,-398.831316666603
"1752",2534,6731,6,2863,1297869621.51,15,-396.266283333368
"1753",3272,6733,4,303,1297871890.347,15,-396.558502777815
"1756",1393,6744,12,657,1297885953.287,19,-390.531242777771
"1760",3285,6753,5,2904,1297917281.54,4,-78.332759166691
"1764",603,6770,9,315,1297959509.617,16,-382.09388611118
"1765",977,6776,4,447,1297975445.473,20,-283.698017499977
"1766",2817,6777,5,3407,1297975465.817,20,-387.601526944439
"1770",26,6791,16,4065,1297996812.39,2,-382.312106388874
"1771",2956,6795,2,1343,1298008722.34,5,-288.059224166671
"1777",3309,6817,12,2029,1298064051.227,21,-384.359833333294
"1778",10633,6820,6,1105,1298072063.113,23,5828.3732927778
"1780",977,6824,5,2657,1298140912.773,18,-403.590837777787
"1782",3062,6832,5,5333,1298148968.153,20,-399.034963888857
"1784",3317,6838,4,393,1298159213.13,23,-372.969401944478
"1788",2101,6851,2,613,1298220537.387,16,-404.242990833388
"1789",3333,6855,2,2759,1298237222.557,21,17544.1382036111
"1793",3140,6867,18,12299,1298284025.68,10,-416.226525000003
